source,target,type,strength
557,182,existing,relational
848,119,potential,member
401,978,potential,relational
949,406,existing,contractual
259,151,existing,relational
894,713,potential,relational
735,493,potential,member
263,414,potential,contractual
906,469,potential,relational
374,897,potential,contractual
140,491,potential,relational
141,528,potential,transactional
846,462,potential,member
204,308,potential,relational
664,581,potential,member
459,418,potential,integrated
486,995,existing,contractual
922,762,existing,integrated
775,40,existing,integrated
69,105,existing,relational
288,372,potential,relational
690,542,existing,member
314,376,existing,member
729,689,existing,integrated
190,378,existing,transactional
173,856,potential,integrated
887,26,potential,transactional
458,501,existing,member
331,107,existing,contractual
161,535,potential,contractual
341,856,existing,integrated
816,74,potential,integrated
717,554,existing,integrated
378,793,potential,integrated
496,160,potential,contractual
622,897,potential,relational
161,802,potential,contractual
950,669,existing,integrated
584,313,potential,contractual
844,588,existing,member
767,32,existing,contractual
705,733,existing,member
820,676,potential,transactional
874,42,potential,integrated
236,245,potential,member
901,183,potential,relational
72,570,existing,contractual
426,266,existing,integrated
788,326,existing,transactional
335,221,potential,member
710,631,potential,relational
552,508,potential,relational
160,541,existing,transactional
550,310,potential,member
129,92,existing,relational
1000,321,potential,integrated
697,28,potential,integrated
607,431,existing,integrated
426,643,existing,relational
429,997,potential,contractual
336,592,potential,member
722,402,existing,relational
15,646,potential,transactional
471,784,existing,contractual
283,241,existing,member
677,523,existing,member
523,214,potential,transactional
724,788,potential,contractual
951,436,potential,contractual
146,714,potential,member
463,395,potential,relational
265,558,potential,relational
711,473,potential,integrated
133,30,potential,contractual
201,833,existing,transactional
665,812,potential,transactional
245,472,existing,member
22,244,existing,contractual
4,81,potential,member
935,741,existing,member
834,234,potential,integrated
694,819,existing,contractual
731,91,existing,member
477,472,existing,integrated
467,148,existing,contractual
271,655,potential,integrated
559,913,existing,integrated
543,195,potential,member
534,116,existing,contractual
257,194,potential,member
55,444,potential,integrated
944,308,potential,relational
363,2,potential,integrated
513,805,existing,integrated
312,368,existing,member
43,744,existing,member
653,282,existing,member
97,610,potential,contractual
110,85,existing,member
327,552,existing,contractual
511,760,potential,contractual
177,87,potential,transactional
494,972,existing,contractual
685,573,potential,member
562,281,potential,relational
454,975,existing,contractual
215,441,existing,transactional
649,776,existing,integrated
158,380,potential,relational
78,625,existing,transactional
753,590,potential,transactional
410,651,potential,integrated
396,318,potential,member
304,317,potential,contractual
142,126,potential,member
164,154,existing,relational
556,27,potential,integrated
487,458,existing,transactional
610,817,existing,contractual
733,63,potential,transactional
108,957,existing,integrated
989,865,existing,member
438,152,existing,integrated
60,675,potential,member
410,615,potential,member
176,904,potential,transactional
666,793,existing,contractual
575,921,potential,member
758,859,potential,integrated
282,600,existing,relational
219,545,existing,transactional
714,1000,existing,contractual
280,181,existing,contractual
489,409,existing,transactional
436,529,existing,member
676,466,existing,contractual
580,358,existing,integrated
558,408,potential,integrated
200,717,existing,contractual
618,899,existing,relational
190,372,potential,integrated
614,289,potential,relational
517,741,potential,contractual
262,676,existing,integrated
395,800,potential,integrated
488,177,potential,transactional
506,285,potential,relational
956,705,existing,transactional
682,863,existing,contractual
398,560,potential,relational
932,488,existing,transactional
388,448,potential,transactional
835,837,potential,member
199,853,potential,transactional
214,697,potential,relational
907,206,existing,transactional
590,2,existing,integrated
799,784,existing,contractual
26,917,potential,transactional
143,379,existing,integrated
809,437,existing,integrated
518,464,existing,relational
99,192,existing,integrated
943,342,potential,transactional
61,86,potential,relational
170,441,potential,integrated
523,795,existing,transactional
859,646,existing,contractual
173,20,existing,contractual
448,941,existing,transactional
111,142,existing,member
889,707,potential,transactional
89,707,potential,integrated
751,425,existing,member
536,322,potential,transactional
557,84,potential,member
62,35,existing,contractual
85,659,potential,integrated
192,357,potential,transactional
619,549,potential,transactional
584,982,existing,integrated
732,448,potential,contractual
571,611,existing,member
590,722,existing,transactional
42,147,potential,relational
350,477,existing,integrated
925,73,potential,transactional
490,622,potential,member
790,25,potential,contractual
345,181,potential,relational
504,435,potential,integrated
474,179,potential,contractual
748,916,existing,relational
758,505,potential,relational
9,213,existing,integrated
584,851,potential,member
898,596,potential,member
149,518,existing,contractual
631,783,existing,contractual
315,506,potential,member
861,196,potential,integrated
314,338,existing,integrated
462,1,existing,member
852,42,potential,transactional
210,122,existing,member
736,467,potential,member
633,152,existing,contractual
179,933,potential,integrated
132,38,potential,integrated
909,62,existing,integrated
191,308,existing,transactional
424,826,potential,contractual
55,503,potential,member
802,840,existing,transactional
739,103,potential,integrated
215,633,existing,relational
598,45,existing,integrated
127,358,potential,member
346,370,potential,integrated
113,136,potential,member
635,372,potential,member
861,483,potential,transactional
51,268,potential,contractual
504,574,potential,member
304,95,existing,integrated
785,383,potential,member
77,963,existing,transactional
578,223,potential,contractual
855,813,potential,integrated
267,609,existing,member
730,789,potential,integrated
341,187,potential,member
570,625,potential,integrated
16,129,existing,contractual
519,349,existing,integrated
680,443,existing,contractual
880,7,existing,contractual
589,795,potential,transactional
331,727,existing,relational
81,610,existing,integrated
603,527,potential,contractual
567,475,potential,member
160,232,potential,integrated
453,207,existing,integrated
364,64,potential,integrated
353,278,potential,transactional
820,987,potential,relational
191,306,potential,member
997,982,potential,integrated
163,793,potential,member
427,726,existing,integrated
559,658,existing,transactional
786,202,existing,relational
165,571,existing,member
664,37,potential,member
852,268,existing,transactional
175,27,existing,integrated
894,761,potential,member
462,456,potential,contractual
550,241,existing,integrated
592,381,existing,member
130,970,existing,contractual
289,761,existing,member
599,567,potential,member
477,130,existing,transactional
823,73,potential,integrated
341,217,existing,member
406,238,potential,relational
70,306,existing,transactional
550,401,existing,contractual
22,332,existing,integrated
100,288,potential,transactional
669,237,potential,transactional
221,339,existing,member
518,558,existing,transactional
142,895,potential,contractual
855,696,existing,transactional
81,944,existing,member
657,95,existing,member
142,233,existing,transactional
991,688,existing,integrated
661,829,potential,integrated
178,56,potential,relational
297,200,existing,transactional
764,614,existing,relational
367,569,potential,relational
459,12,potential,relational
41,421,potential,contractual
709,7,potential,integrated
147,830,potential,contractual
81,467,existing,integrated
356,541,existing,relational
722,319,existing,contractual
761,690,potential,integrated
734,760,existing,transactional
180,837,potential,relational
297,451,existing,member
570,681,potential,integrated
811,848,existing,contractual
225,192,potential,contractual
903,260,existing,relational
158,355,existing,contractual
685,742,existing,transactional
768,663,potential,member
772,551,potential,transactional
779,804,existing,member
448,134,potential,relational
805,787,existing,member
955,992,potential,integrated
529,180,existing,transactional
5,998,existing,transactional
960,557,existing,relational
169,944,potential,contractual
749,523,existing,integrated
697,811,potential,contractual
915,987,existing,transactional
667,769,existing,transactional
481,516,potential,transactional
746,143,existing,relational
361,503,existing,relational
575,804,existing,member
748,848,existing,contractual
119,941,existing,relational
850,580,existing,transactional
327,22,potential,contractual
286,328,potential,integrated
444,575,potential,integrated
337,154,potential,integrated
603,755,potential,contractual
226,64,existing,integrated
348,820,potential,integrated
604,747,existing,relational
398,73,existing,transactional
113,205,existing,relational
871,144,existing,integrated
259,445,potential,integrated
128,211,existing,integrated
239,986,existing,contractual
522,894,existing,member
415,945,potential,contractual
510,106,potential,relational
79,451,existing,transactional
304,362,existing,integrated
19,435,existing,member
17,841,existing,integrated
720,109,existing,integrated
626,147,existing,member
455,67,potential,integrated
742,301,existing,relational
868,916,existing,contractual
797,883,existing,integrated
259,323,potential,integrated
876,473,potential,relational
369,155,existing,transactional
450,774,existing,member
498,89,potential,integrated
654,113,potential,member
23,829,existing,integrated
32,840,potential,relational
385,869,potential,integrated
253,699,potential,member
614,533,existing,transactional
802,751,existing,integrated
361,924,potential,transactional
510,36,existing,member
737,568,potential,contractual
582,718,potential,relational
295,727,existing,transactional
683,658,existing,relational
894,622,potential,member
396,44,existing,transactional
449,631,potential,integrated
618,125,existing,integrated
919,494,potential,contractual
203,11,potential,member
691,305,existing,contractual
241,480,existing,integrated
545,676,potential,integrated
504,980,potential,integrated
160,730,existing,member
555,421,potential,integrated
820,403,existing,member
748,886,potential,contractual
255,752,existing,member
550,700,potential,member
812,650,existing,relational
957,332,potential,transactional
937,966,potential,transactional
719,555,existing,relational
231,638,potential,relational
774,938,potential,contractual
608,249,potential,transactional
650,852,potential,member
668,625,existing,integrated
313,916,potential,transactional
623,559,potential,transactional
130,47,existing,relational
634,107,potential,integrated
36,287,potential,contractual
176,243,existing,transactional
885,400,existing,contractual
232,527,potential,transactional
496,701,potential,member
184,973,existing,contractual
91,695,potential,transactional
899,48,potential,member
508,14,potential,member
76,729,existing,member
257,670,potential,contractual
900,788,potential,integrated
376,426,potential,integrated
754,544,existing,member
458,145,potential,transactional
189,504,potential,integrated
349,319,potential,contractual
206,650,existing,transactional
699,117,potential,integrated
300,450,existing,integrated
660,466,potential,relational
811,966,potential,relational
897,321,existing,relational
468,263,existing,member
276,781,existing,relational
148,963,existing,relational
51,360,existing,contractual
370,936,existing,relational
804,369,potential,member
689,876,existing,transactional
304,411,potential,member
618,212,potential,contractual
186,313,existing,transactional
653,701,potential,contractual
71,143,potential,member
98,639,potential,integrated
995,920,potential,transactional
97,394,existing,relational
229,677,existing,member
824,156,existing,integrated
59,161,existing,integrated
41,700,potential,contractual
63,296,potential,member
675,96,potential,integrated
855,696,existing,member
486,642,potential,relational
995,116,potential,member
545,939,potential,contractual
640,714,existing,contractual
392,470,potential,contractual
252,883,potential,integrated
195,884,potential,integrated
395,763,existing,member
416,87,potential,relational
948,467,existing,contractual
975,236,potential,member
944,816,existing,integrated
795,600,potential,contractual
909,395,existing,relational
523,488,existing,relational
762,370,potential,transactional
185,173,existing,transactional
190,577,potential,integrated
263,564,existing,transactional
918,916,potential,integrated
483,646,potential,member
869,51,potential,contractual
922,6,potential,transactional
752,614,existing,relational
515,921,potential,integrated
101,371,potential,relational
715,26,existing,integrated
685,813,potential,integrated
182,983,potential,member
366,964,existing,member
441,557,existing,contractual
322,802,potential,transactional
270,727,potential,relational
710,850,existing,relational
245,956,potential,relational
715,250,potential,contractual
173,191,existing,member
624,868,potential,transactional
395,590,potential,contractual
25,782,existing,member
419,539,potential,relational
887,552,potential,integrated
413,948,existing,member
636,228,potential,relational
541,244,potential,integrated
283,307,existing,transactional
501,879,existing,relational
176,501,existing,contractual
568,522,potential,member
422,651,potential,member
268,924,existing,transactional
103,444,existing,integrated
905,329,potential,transactional
305,982,existing,relational
983,157,potential,transactional
21,996,potential,relational
625,216,existing,integrated
401,78,potential,integrated
848,200,existing,contractual
251,282,existing,transactional
341,36,existing,member
651,232,existing,transactional
377,720,potential,relational
919,346,potential,transactional
948,700,existing,contractual
884,558,potential,contractual
685,317,potential,contractual
714,838,existing,contractual
462,655,potential,transactional
618,750,potential,relational
144,964,potential,member
417,647,existing,integrated
845,702,potential,contractual
952,462,potential,contractual
451,567,existing,relational
720,700,existing,transactional
854,28,existing,contractual
565,669,existing,transactional
701,555,existing,integrated
876,693,existing,contractual
258,676,potential,contractual
109,258,existing,contractual
592,560,potential,transactional
829,350,existing,relational
909,655,potential,relational
82,22,existing,integrated
486,357,potential,transactional
539,6,potential,member
518,963,potential,transactional
204,851,existing,contractual
540,29,potential,integrated
460,829,existing,relational
31,686,existing,contractual
378,579,existing,integrated
896,695,existing,member
52,774,existing,member
372,982,existing,relational
255,65,potential,member
265,534,existing,relational
713,769,existing,transactional
501,644,potential,contractual
905,365,potential,relational
287,824,potential,transactional
330,531,existing,contractual
747,734,existing,relational
273,646,potential,relational
614,951,potential,integrated
715,901,existing,contractual
704,42,potential,contractual
460,163,potential,transactional
23,646,potential,transactional
559,910,potential,integrated
375,957,potential,relational
904,517,existing,member
141,451,potential,transactional
14,433,existing,relational
15,30,existing,relational
420,436,potential,contractual
847,170,potential,transactional
52,416,potential,relational
476,179,existing,contractual
202,6,potential,relational
936,640,potential,transactional
789,782,potential,member
279,932,existing,transactional
54,292,potential,member
439,872,potential,relational
747,292,potential,relational
175,751,existing,integrated
230,17,potential,member
683,174,potential,relational
362,168,potential,relational
733,908,potential,member
671,833,potential,integrated
747,645,potential,contractual
